EquType,Words
压力容器,广西 柳州市 融水县 广场 附近 烧烤店 厨房 煤气罐 起火 救援 人员 立即 赶赴现场 扑救 火灾 扑灭 消防员 出警 救援 及时 未 造成 人员伤亡
电梯,安徽省 滁州市 九九 广场 一位 老人 被困 电梯 接警 民警 迅速 赶往 现场 电梯 维修 人员 赶到 积极 配合 展开 救援 最终 帮助 老人 成功 脱困
压力容器,湖南省 永州市 冷水滩区 珊瑚 路 早餐 店 液化气 瓶 发生爆炸 现场 浓烟滚滚 具体 人员伤亡 暂 明确
压力容器,辽宁省 朝阳市 龙城区 西 大营子镇 东梁 居民 家中 液化气罐 着火 救援 人员 立即 赶赴现场 液化气罐 迅速 转移 屋外 安全 地带 进行 冷却 降温 大火 进行 扑救 防止 火势 蔓延 液化气罐 冷却 后用 湿 棉被 焖 灭 成功 处置 险情
电梯,福建省 福州市 鳌祥 佳园 小区 被困 电梯 近 小时 电梯 紧急 按钮 无人 回应 被困 人员 家人 联系 电梯 维修 人员 成功 救出 被困 人员
电梯,四川省 南充市 御璟湾 小区 栋楼 两位 业主 乘坐 电梯 时 被困 一个多 小时 现已 中暑 送往 医院 急救
电梯,河南省 周口市 沈丘县 阳光 花园 二号楼 单元 电梯 突发 停电 直坠 现象 幸好 人员伤亡
电梯,陕西省 汉中市 汉台区 小区 有人 被困 电梯 救援 人员 立即 赶到 现场 利用 携带 万能 电梯 开锁 钥匙 电梯门 打开 仅用 分钟 成功 救出 被困 人员
电梯,浙江省 嘉兴 海宁市 盐仓 杭海 大厦 有人 被困 电梯 三楼 许 浙江省 嘉兴 海宁市 许 村镇 和平 创业园 翁 许路 号 电梯 故障 被困 三楼 消防 指战员 及时 赶到 现场 成功 救出 被困 人员
电梯,湖北省 武汉市 武昌区 楚汉 新居 小区 栋 大雨 导致 配电房 机器 发生 故障 整个 小区 停电 造成 电梯 停运 被困 救援 人员 迅速 赶到 现场 成功 救出 被困 人员
压力容器,河北省 唐山市 古冶区 小区 厨房 起火 引燃 煤气罐 消防人员 立即 赶到 现场 使用 湿 手套 煤气罐 转移 院内 安全 位置 降温 成功 处置 险情
电梯,安徽省 淮北市 濉溪县 天 风雅 苑 小区 电梯 发生 故障 母子 被困 民警 迅速 赶赴 事发 现场 分钟 成功 救出 被困 人员
压力容器,江苏省 淮安市 涟水县 军民 花园 住户 家中 煤气 泄漏 引发 火灾 导致 烧伤
电梯,浙江省 杭州市 广宇 锦绣 桃园 小区 电梯 底坑 积水 造成 安全 开关 故障 电梯 下坠 父女 被困 十几分钟 人员伤亡
起重机械,陕西省 榆林市 靖边县 紫薇 花园 小区 立体车库 发生 坍塌 钢结构 彩 钢棚 倒塌 事故 造成 一人 受伤 辆车 受损 初步 调查 事发 时 狂风暴雨 冰雹 导致 车库 坍塌 主要 原因
压力容器,广西 南宁市 江南 区 星光 大道 西 二里 号 民房 煤气 泄漏 引发 爆燃 男子 烧伤 救援 人员 立即 赶到 现场 成功 处置 险情 受伤 人员 送往 医院 救治
电梯,晚 上海市 杨浦区 长阳路 弄 区内 居民 乘坐 电梯 时因 轿厢 高度 高出 地面 造成 乘客 绊倒 电梯 门 未关 情况 上升 导致 乘客 双腿 夹断 事发 救护车 消防车 先后 抵达 现场 受伤 人员 送往 医院 治疗
压力容器,甘肃省 陇南 市武罐 高速 一辆 载有 约 公斤 天然气 钢罐 货车 发生 侧翻 导致 钢罐 泄漏 救援 人员 立即 赶往 现场 天然气 钢罐 进行 排空 使用 水对 泄漏 天然气 进行 稀释 车头 扶正 关闭 罐体 阀门 成功 处置 险情
压力容器,安徽省 合肥市 孙大 郢 西大街 自建房 煤气罐 起火 救援 人员 立即 赶赴现场 使用 湿 毛巾 喷火 煤气罐 包裹 好后 转移 空旷 地带 用水 煤气罐 进行 冷却 降温 成功 处置 险情
电梯,晚 河南省 商丘市 梁园区 饭店 女工 不慎 双手 卡进 传菜 电梯 中 消防员 立即 赶到 现场 利用 液压 破 拆 工具 对卡手 部位 进行 扩张 分钟 顺利 女工 双手 取出 送往 医院 治疗
压力容器,江苏省 南通市 海安县 曲塘 中学 附近 出租屋 煤气罐 发生爆炸 出租屋 窗户 被炸飞 砸 中 路边 轿车 接到 报警 救援 人员 立即 赶赴现场 救援 爆炸 发生 原因 进一步 调查
锅炉,陕西省 渭南市 大荔县 苏 村镇 槐园 村 四组 村民 蒸煮 黄花菜 时 发生 锅炉 爆炸 事故 造成 两死 三伤
电梯,浙江省 杭州市 桐庐县 城南 街道 云栖 中路 号 锦绣 足浴 店 电梯 突发 故障 致人 被困 救援 人员 立即 赶赴现场 联合 电梯公司 人员 电梯 被困 人员 成功 救出
电梯,济南市 历城区 小区 疑似 停电 三口 被困 电梯 分钟 电梯 紧急 呼救 键 无人 应答 被困 人员 家人 发现 通知 物业 人员 物业 工作人员 赶到 现场 成功 救出 被困 人员
电梯,济南市 莱芜 区 小区 突然 停电 致一 男子 被困 电梯 民警 迅速 到达 现场 成功 被困 人员 救出
电梯,浙江省 宁波市 小区 新人 伴娘 团 被困 电梯 半小时 消防员 立即 赶到 现场 成功 救出 被困 人员
电梯,广东省 肇庆市 鼎湖区 峰景 四季 小区 停电 导致 老人 乘坐 电梯 时 被困
起重机械,湖南省 娄底市 新化县 温塘 镇米家岩 在建 龙琅 高速 工程 施工现场 塔吊 发生 倒塌 事故 导致 正在 高处 施工 工人 直接 坠落 死亡 目前 具体 事故 原因 暂 明确
电梯,广东省 惠州市 大亚湾 区 东部 阳光 花园 小区 栋 单元 居民 乘坐 电梯 时 突发 电梯 下坠 事故 人员伤亡
电梯,上海市 松江区 泗泾镇 韵意 四村 突然 断电 有人 被困 电梯 里 救援 人员 及时 赶到 进行 施救 成功 救出 被困 人员
压力容器,河北省 邯郸市 肥乡 区 七 一八 所特气 公司 精馏塔 超压 导致 三 氟化 氮 发生 泄漏 引燃 周边 保温材料 电缆 事故 未 造成 人员 伤亡事故 原因 正在 调查 中
电梯,安徽省 六安 水木清华 小区 号楼 电梯 故障 下坠 居民 被困 物业 人员 十几分钟 赶到 现场 成功 救出 被困 人员
电梯,黑龙江省 哈尔滨市 小区 电梯 故障 有人 被困 电梯 半小时
电梯,广西北海 市 经济 适用房 成都路 小区 停电 导致 业主 被困 电梯 物业 求救 保安 室 竟 电梯 钥匙 物业 收钱 希望 部门 关注 一下
电梯,广西 柳州市 荣和天誉 小区 栋 二 单元 电梯 突发 故障 九岁 女孩 被困
起重机械,吉林省 吉林市 福源 馆 附近 吉林市 一建 公司 承建 建工 发生 安全事故 塔吊 吊 六米 过程 中 发生 脱落 导致 钢管 砸 中 现场 两名 工人
压力容器,山西省 吕梁 孝义市 西许 村 东街 办事处 村民 家中 煤气罐 着火 救援 人员 立即 赶赴现场 先对 厨房 断电 使用 水枪 进行 扑救 转移 煤气罐 安全 区域 进行 冷却 十多分钟 扑救 成功 排除 险情
压力容器,陕西省 延安市 富县 牛武镇 国道 宜川 方向 一辆 满载 吨 天然气 罐车 车头 部位 发生 着火 救援 人员 立即 赶到 现场 小时 紧急 救援 成功 罐体 移至 安全 位置
压力容器,江苏省 淮安市 淮安 区苏 嘴镇 衡庄 三组 居民 家中 煤气 使用不当 造成 煤气罐 着火 救援 人员 火速 赶到 现场 使用 湿 布包 煤气罐 煤气罐 扔进 河里 成功 处置 险情
电梯,吉林省 长春市 高新区 新星 宇和源 左岸 塞纳 宇都 和源 大面积 停电 致多人 被困 电梯
起重机械,上海市 虹口区 新港路 瑞虹 新城 工地 和平 公园 对面 发生 塔吊 倒塌 事故 人员 受伤
压力容器,河北省 邯郸市 邯馆 高速 肥乡 服务区 东 公里 处 济南 方向 发生 追尾 事故 半挂车 自带 天然气 罐 发生 泄漏 司机 被困 救援 人员 立即 赶到 现场 使用 水枪 进行 冷却 稀释 利用 破 拆 救援 工具 被困 人员 进行 施救 被困 人员 安全 救出 成功 处置 险情
电梯,浙江省 宁波市 镇海区 庄市 街道 摩士 公寓 电梯 发生 故障 致人 被困 近 半小时 救援 人员 立即 赶赴现场 成功 救出 被困 人员
电梯,陕西省 渭南市 小区 群众 被困 电梯
电梯,江苏省 泰州 兴化市 商场 男童 右脚 卡手 扶梯 挡板 夹缝 消防员 赶到 现场 使用 专业 设备 电梯 维修 人员 联合 拆卸 电梯 近 分钟 急救 男童 右脚 脱困
电梯,晚 江苏省 徐州 邳州市 水杉 玉景 小区 号楼 单元 发生 电梯 坠落 事故 人员伤亡
电梯,广东省 梅州市 蕉岭县 城南 钟楼 圆盘 酒吧 供电 设施 故障 突发 停电 导致 顾客 被困 电梯 里 消防员 立即 前往 救援 成功 救出 被困 人员
电梯,福建省 泉州 南安市 老人 活动中心 两名 男孩 被困 电梯 救援 人员 立即 前往 现场 半个 小时 努力 成功 解救 被困 人员
压力容器,河北省 秦皇岛市 开发区 花苑 新居 肉夹馍 店 疑似 发生 液化气罐 爆炸 目前 事故 具体 原因 人员伤亡 情况 暂 明确
